BotName, Behaviour, PositionX, PositionY, OrientationX, OrientationY,  DistanceToEnemyFlag, DistanceToOwnFlag, DistanceToEnemyBase, DistanceToOwnBase, DistanceToEnemyFlagScore, DistanceToOwnFlagScore, DistanceToEnemyFlagSpawn, DistanceToOwnFlagSpawn, Visibility, DistanceToNearestEnemy, GameState
1, 1, 44, 10, 2.2009602, 4, 4, 56, 56, 44, 46, 4, 4, 34, 999999, 0, 3, 15900
1, 1, 42, 12, 1.9829248, 4, 8, 52, 56, 44, 42, 4, 4, 28, 999999, 0, 3, 17500
1, 1, 42, 12, 2.272467, 4, 8, 52, 56, 44, 42, 4, 4, 28, 999999, 0, 3, 17633
1, 1, 42, 12, 2.3367376, 4, 8, 52, 56, 44, 42, 4, 4, 28, 999999, 0, 3, 17766
1, 1, 42, 12, 2.3468232, 4, 8, 52, 56, 44, 42, 4, 4, 28, 999999, 0, 3, 18833
1, 1, 42, 12, -2.847495, 4, 8, 52, 56, 44, 42, 4, 4, 28, 999999, 0, 3, 18966
1, 1, 42, 12, -2.0568945, 4, 8, 52, 56, 44, 42, 4, 4, 28, 999999, 0, 3, 19100
1, 1, 42, 12, -1.873029, 4, 8, 52, 56, 44, 42, 4, 4, 28, 999999, 0, 3, 19233
1, 1, 42, 11, -1.8302655, 3, 7, 53, 57, 45, 43, 3, 3, 31, 999999, 0, 3, 19366
2, 1, 46, 9, -2.3392239, 5, 1, 59, 55, 43, 49, 5, 5, 28, 999999, 0, 3, 15766
2, 1, 45, 8, -2.74202, 3, 1, 59, 57, 45, 49, 3, 3, 30, 999999, 0, 3, 16166
2, 1, 45, 8, 3.14056, 3, 1, 59, 57, 45, 49, 3, 3, 30, 999999, 0, 3, 16300
2, 1, 43, 8, 3.020685, 1, 3, 57, 59, 47, 47, 1, 1, 31, 999999, 0, 3, 16700
2, 1, 43, 8, 1.875735, 1, 3, 57, 59, 47, 47, 1, 1, 31, 999999, 0, 3, 17500
2, 1, 43, 8, 3.095065, 1, 3, 57, 59, 47, 47, 1, 1, 31, 999999, 0, 3, 17633
2, 1, 42, 8, -2.8519492, 0, 4, 56, 60, 48, 46, 0, 0, 30, 999999, 0, 3, 17766
2, 1, 42, 8, -2.6438394, 0, 4, 56, 60, 48, 46, 0, 0, 30, 999999, 0, 3, 17900
2, 1, 42, 8, 3.0924227, 0, 4, 56, 60, 48, 46, 0, 0, 30, 999999, 0, 3, 18566
2, 1, 42, 8, 2.7014704, 0, 4, 56, 60, 48, 46, 0, 0, 30, 999999, 0, 3, 18700
2, 1, 42, 8, 2.6105497, 0, 4, 56, 60, 48, 46, 0, 0, 30, 999999, 0, 3, 18833
2, 1, 41, 8, 2.5894024, 1, 5, 55, 61, 49, 45, 1, 1, 29, 999999, 0, 3, 18966
2, 1, 41, 9, 2.5844839, 2, 6, 54, 60, 48, 44, 2, 2, 28, 999999, 0, 3, 19100
2, 1, 40, 9, 2.5833402, 3, 7, 53, 61, 49, 43, 3, 3, 28, 999999, 0, 3, 19233
3, 1, 83, 26, -2.6705964, 59, 55, 81, 3, 51, 59, 59, 59, 18, 999999, 0, 3, 20033
3, 1, 80, 24, -2.6708016, 54, 50, 78, 6, 50, 58, 54, 54, 24, 999999, 0, 3, 21633
3, 1, 79, 23, -2.7578504, 52, 48, 78, 8, 50, 58, 52, 52, 24, 999999, 0, 3, 21766
3, 1, 79, 23, -2.7844167, 52, 48, 78, 8, 50, 58, 52, 52, 24, 999999, 0, 3, 21900
3, 1, 77, 22, -2.1450775, 49, 45, 77, 11, 49, 57, 49, 49, 30, 999999, 0, 3, 22300
3, 1, 76, 21, -2.049477, 47, 43, 77, 13, 49, 57, 47, 47, 33, 999999, 0, 3, 22433
3, 1, 76, 21, -2.2357457, 47, 43, 77, 13, 49, 57, 47, 47, 33, 999999, 0, 3, 22566
3, 1, 75, 20, -2.5942411, 45, 41, 77, 15, 49, 57, 45, 45, 33, 999999, 0, 3, 22699
3, 1, 74, 20, -2.6776135, 44, 40, 76, 16, 48, 56, 44, 44, 33, 999999, 0, 3, 22833
3, 1, 74, 19, -2.289652, 43, 39, 77, 17, 49, 57, 43, 43, 35, 999999, 0, 3, 22966
3, 1, 73, 19, -2.3230958, 42, 38, 78, 18, 50, 58, 42, 42, 28, 999999, 0, 3, 23099
3, 1, 73, 18, -2.3595476, 41, 37, 77, 19, 49, 57, 41, 41, 38, 31, 1, 3, 23233
3, 1, 72, 18, -2.5787559, 40, 36, 76, 20, 48, 56, 40, 40, 36, 30, 1, 3, 23366
3, 1, 71, 18, -3.0228662, 39, 35, 75, 21, 47, 55, 39, 39, 36, 29, 1, 3, 23499
3, 1, 70, 18, -3.1261492, 38, 34, 74, 22, 46, 54, 38, 38, 47, 27, 1, 3, 23633
3, 1, 68, 16, -2.4016254, 34, 30, 74, 26, 46, 54, 34, 34, 48, 19, 1, 3, 24833
3, 1, 68, 16, 2.2970605, 34, 30, 74, 26, 46, 54, 34, 34, 48, 18, 1, 3, 24966
3, 1, 68, 16, 1.9285567, 34, 30, 74, 26, 46, 54, 34, 34, 48, 18, 1, 3, 25099
3, 1, 68, 17, 1.8428566, 35, 31, 73, 25, 45, 53, 35, 35, 55, 18, 1, 3, 25233
3, 1, 68, 18, 1.8229235, 36, 32, 72, 24, 44, 52, 36, 36, 58, 18, 1, 3, 25366
3, 1, 68, 18, 1.8182877, 36, 32, 72, 24, 44, 52, 36, 36, 58, 17, 1, 3, 25499
4, 1, 44, 8, -2.7603345, 2, 2, 58, 58, 46, 48, 2, 2, 31, 999999, 0, 3, 15766
4, 1, 44, 9, -1.6051612, 3, 3, 57, 57, 45, 47, 3, 3, 32, 999999, 0, 3, 15900
5, 1, 54, 33, 1.9392534, 39, 35, 59, 39, 15, 23, 39, 39, 39, 999999, 0, 3, 20700
5, 1, 54, 33, 0.45100817, 39, 35, 59, 39, 15, 23, 39, 39, 39, 999999, 0, 3, 20833
5, 1, 55, 33, 0.10489005, 40, 36, 60, 38, 16, 24, 40, 40, 49, 999999, 0, 3, 20966
5, 1, 55, 33, 0.024396451, 40, 36, 60, 38, 16, 24, 40, 40, 49, 999999, 0, 3, 21100
5, 1, 56, 33, 0.005673737, 39, 35, 61, 37, 17, 25, 39, 39, 57, 999999, 0, 3, 21233
5, 1, 56, 33, 0.0013194684, 39, 35, 61, 37, 17, 25, 39, 39, 57, 999999, 0, 3, 21366
5, 1, 56, 33, 3.068447E-4, 39, 35, 61, 37, 17, 25, 39, 39, 57, 999999, 0, 3, 21500
5, 1, 56, 31, -1.6911719, 37, 33, 59, 35, 19, 27, 37, 37, 50, 999999, 0, 3, 22033
5, 1, 56, 31, -1.7020285, 37, 33, 59, 35, 19, 27, 37, 37, 50, 999999, 0, 3, 22166
5, 1, 56, 31, -1.7045534, 37, 33, 59, 35, 19, 27, 37, 37, 50, 999999, 0, 3, 22300
5, 1, 56, 30, -1.465619, 36, 32, 58, 34, 20, 28, 36, 36, 52, 999999, 0, 3, 23366
5, 1, 56, 30, -1.0484703, 36, 32, 58, 34, 20, 28, 36, 36, 52, 999999, 0, 3, 23499
6, 1, 86, 27, -2.6985307, 63, 59, 85, 3, 53, 61, 63, 63, 18, 999999, 0, 3, 20033
6, 1, 86, 27, -2.7927117, 63, 59, 85, 3, 53, 61, 63, 63, 18, 999999, 0, 3, 20700
6, 1, 86, 27, -2.8237853, 63, 59, 85, 3, 53, 61, 63, 63, 18, 999999, 0, 3, 20833
6, 1, 86, 27, -2.8310125, 63, 59, 85, 3, 53, 61, 63, 63, 18, 999999, 0, 3, 20966
6, 1, 85, 27, -2.8326933, 62, 58, 84, 2, 54, 62, 62, 62, 18, 999999, 0, 3, 21100
6, 1, 85, 26, -2.8330839, 61, 57, 83, 1, 53, 61, 61, 61, 19, 999999, 0, 3, 21233
6, 1, 84, 26, -2.635507, 60, 56, 82, 2, 52, 60, 60, 60, 19, 999999, 0, 3, 21366
6, 1, 84, 26, -2.559147, 60, 56, 82, 2, 52, 60, 60, 60, 19, 999999, 0, 3, 21500
6, 1, 83, 25, -2.5413857, 58, 54, 80, 2, 52, 60, 58, 58, 19, 999999, 0, 3, 21633
6, 1, 82, 25, -2.5627036, 57, 53, 79, 3, 51, 59, 57, 57, 19, 999999, 0, 3, 21766
6, 1, 82, 24, -2.6061363, 56, 52, 80, 4, 52, 60, 56, 56, 20, 999999, 0, 3, 21900
6, 1, 81, 24, -2.6162379, 55, 51, 79, 5, 51, 59, 55, 55, 21, 999999, 0, 3, 22033
6, 1, 80, 24, -2.7533202, 54, 50, 78, 6, 50, 58, 54, 54, 24, 999999, 0, 3, 22166
6, 1, 70, 17, -2.1358836, 37, 33, 75, 23, 47, 55, 37, 37, 51, 21, 1, 3, 24833
6, 1, 70, 17, 2.4176216, 37, 33, 75, 23, 47, 55, 37, 37, 51, 19, 1, 3, 24966
6, 1, 69, 18, 2.0153537, 37, 33, 73, 23, 45, 53, 37, 37, 55, 19, 1, 3, 25099
6, 1, 69, 18, 1.9218016, 37, 33, 73, 23, 45, 53, 37, 37, 55, 19, 1, 3, 25233
6, 1, 69, 18, 1.9000417, 37, 33, 73, 23, 45, 53, 37, 37, 55, 19, 1, 3, 25366
6, 1, 69, 19, 2.1046076, 38, 34, 72, 22, 44, 52, 38, 38, 51, 18, 1, 3, 25499
6, 1, 68, 19, 2.1521862, 37, 33, 71, 23, 43, 51, 37, 37, 57, 18, 1, 3, 25633
0, 0, 82, 24, -2.731465, 56, 52, 80, 4, 52, 60, 56, 56, 20, 999999, 0, 3, 33
0, 0, 82, 24, -2.731465, 56, 52, 80, 4, 52, 60, 56, 56, 20, 999999, 0, 3, 166
0, 0, 82, 24, -2.8560765, 56, 52, 80, 4, 52, 60, 56, 56, 20, 999999, 0, 3, 1366
0, 0, 82, 24, -2.9172497, 56, 52, 80, 4, 52, 60, 56, 56, 20, 999999, 0, 3, 1499
0, 0, 82, 23, -2.9314787, 55, 51, 81, 5, 53, 61, 55, 55, 20, 999999, 0, 3, 1633
0, 0, 81, 23, -2.9347875, 54, 50, 80, 6, 52, 60, 54, 54, 20, 999999, 0, 3, 1766
0, 0, 80, 23, -2.988538, 53, 49, 79, 7, 51, 59, 53, 53, 22, 999999, 0, 3, 1899
0, 0, 80, 23, -3.026594, 53, 49, 79, 7, 51, 59, 53, 53, 22, 999999, 0, 3, 2033
0, 0, 79, 23, -3.0354452, 52, 48, 78, 8, 50, 58, 52, 52, 24, 999999, 0, 3, 2166
0, 0, 78, 23, -3.0375035, 51, 47, 77, 9, 49, 57, 51, 51, 32, 999999, 0, 3, 2299
0, 0, 77, 23, -3.0379822, 50, 46, 76, 10, 48, 56, 50, 50, 35, 999999, 0, 3, 2433
0, 0, 77, 22, -1.9676567, 49, 45, 77, 11, 49, 57, 49, 49, 30, 999999, 0, 3, 2566
0, 0, 77, 22, -2.3777356, 49, 45, 77, 11, 49, 57, 49, 49, 30, 999999, 0, 3, 2699
0, 0, 76, 21, -2.4731035, 47, 43, 77, 13, 49, 57, 47, 47, 33, 999999, 0, 3, 2833
0, 0, 76, 21, -2.4952857, 47, 43, 77, 13, 49, 57, 47, 47, 33, 999999, 0, 3, 2966
0, 0, 75, 20, -2.5004451, 45, 41, 77, 15, 49, 57, 45, 45, 33, 999999, 0, 3, 3099
0, 0, 74, 19, -2.3187628, 43, 39, 77, 17, 49, 57, 43, 43, 35, 999999, 0, 3, 3233
0, 0, 74, 19, -2.248373, 43, 39, 77, 17, 49, 57, 43, 43, 35, 999999, 0, 3, 3366
0, 0, 73, 18, -2.232001, 41, 37, 77, 19, 49, 57, 41, 41, 38, 999999, 0, 3, 3499
0, 0, 73, 18, -2.2687929, 41, 37, 77, 19, 49, 57, 41, 41, 38, 999999, 0, 3, 3633
0, 0, 72, 17, -2.338718, 39, 35, 77, 21, 49, 57, 39, 39, 43, 999999, 0, 3, 3766
0, 0, 72, 16, -2.3549817, 38, 34, 78, 22, 50, 58, 38, 38, 47, 999999, 0, 3, 3899
0, 0, 71, 16, -2.3575718, 37, 33, 77, 23, 49, 57, 37, 37, 50, 999999, 0, 3, 4033
0, 0, 71, 15, -2.3563716, 36, 32, 78, 24, 50, 58, 36, 36, 53, 999999, 0, 3, 4166
0, 0, 70, 15, -2.3560927, 35, 31, 77, 25, 49, 57, 35, 35, 52, 999999, 0, 3, 4299
0, 0, 70, 14, -2.3560278, 34, 30, 78, 26, 50, 58, 34, 34, 51, 999999, 0, 3, 4433
0, 0, 69, 14, -2.3560128, 33, 29, 77, 27, 49, 57, 33, 33, 39, 999999, 0, 3, 4566
0, 0, 69, 13, -1.7030139, 32, 28, 78, 28, 50, 58, 32, 32, 39, 999999, 0, 3, 4699
0, 0, 69, 12, -1.5511502, 31, 27, 79, 29, 51, 59, 31, 31, 48, 999999, 0, 3, 4833
0, 0, 69, 11, -2.0030508, 30, 26, 80, 30, 52, 60, 30, 30, 53, 999999, 0, 3, 4966
0, 0, 68, 11, -2.5705433, 29, 25, 79, 31, 51, 59, 29, 29, 50, 999999, 0, 3, 5099
0, 0, 67, 11, -2.8893647, 28, 24, 78, 32, 50, 58, 28, 28, 45, 999999, 0, 3, 5233
0, 0, 66, 11, -2.7856886, 27, 23, 77, 33, 49, 57, 27, 27, 51, 999999, 0, 3, 5366
0, 0, 66, 10, -2.675826, 28, 24, 78, 34, 50, 58, 28, 28, 55, 999999, 0, 3, 5499
0, 0, 65, 10, -2.6502726, 27, 23, 77, 35, 49, 57, 27, 27, 56, 999999, 0, 3, 5633
0, 0, 65, 10, -2.448875, 27, 23, 77, 35, 49, 57, 27, 27, 56, 999999, 0, 3, 5766
0, 0, 64, 9, -2.3719661, 27, 23, 77, 37, 49, 57, 27, 27, 57, 999999, 0, 3, 5899
0, 0, 63, 8, -2.3540778, 27, 23, 77, 39, 49, 57, 27, 27, 55, 999999, 0, 3, 6033
0, 0, 63, 8, -2.352407, 27, 23, 77, 39, 49, 57, 27, 27, 55, 999999, 0, 3, 6166
0, 0, 62, 7, -2.3557818, 25, 21, 77, 41, 49, 57, 25, 25, 53, 999999, 0, 3, 6299
0, 0, 62, 7, -2.3565664, 25, 21, 77, 41, 49, 57, 25, 25, 53, 999999, 0, 3, 6433
0, 0, 61, 6, -2.356749, 23, 19, 77, 43, 49, 57, 23, 23, 47, 999999, 0, 3, 6566
0, 0, 61, 6, -2.5477068, 23, 19, 77, 43, 49, 57, 23, 23, 47, 999999, 0, 3, 6699
0, 0, 59, 5, -2.6841834, 20, 16, 76, 46, 48, 56, 20, 20, 33, 999999, 0, 3, 6833
0, 0, 59, 5, -3.0380628, 20, 16, 76, 46, 48, 56, 20, 20, 33, 999999, 0, 3, 8033
0, 0, 59, 5, -2.6239047, 20, 16, 76, 46, 48, 56, 20, 20, 33, 999999, 0, 3, 8166

0, 0, 59, 4, -2.5275874, 21, 17, 77, 47, 49, 57, 21, 21, 36, 999999, 0, 3, 8299

0, 0, 58, 4, -2.5051842, 20, 16, 76, 48, 48, 56, 20, 20, 31, 999999, 0, 3, 8433

0, 0, 58, 4, -2.4999738, 20, 16, 76, 48, 48, 56, 20, 20, 31, 999999, 0, 3, 8566

0, 0, 58, 4, -2.4987621, 20, 16, 76, 48, 48, 56, 20, 20, 31, 999999, 0, 3, 8700

0, 0, 57, 3, -2.4984803, 20, 16, 76, 50, 48, 56, 20, 20, 29, 999999, 0, 3, 8833

0, 0, 57, 4, 2.9568927, 19, 15, 75, 49, 47, 55, 19, 19, 28, 999999, 0, 3, 8966

0, 0, 57, 4, 2.764373, 19, 15, 75, 49, 47, 55, 19, 19, 28, 999999, 0, 3, 9100

0, 0, 56, 4, 2.7195969, 18, 14, 74, 50, 46, 54, 18, 18, 25, 999999, 0, 3, 9233

0, 0, 56, 4, 2.7091825, 18, 14, 74, 50, 46, 54, 18, 18, 25, 999999, 0, 3, 9366
0, 0, 55, 4, 2.7067604, 17, 13, 73, 51, 45, 53, 17, 17, 24, 999999, 0, 3, 9500
0, 0, 55, 4, 2.706197, 17, 13, 73, 51, 45, 53, 17, 17, 24, 999999, 0, 3, 9633
0, 0, 55, 5, 2.7060661, 16, 12, 72, 50, 44, 52, 16, 16, 22, 999999, 0, 3, 9766
0, 0, 54, 5, 2.7060359, 15, 11, 71, 51, 43, 51, 15, 15, 25, 999999, 0, 3, 9900
0, 0, 54, 5, 2.6571648, 15, 11, 71, 51, 43, 51, 15, 15, 25, 999999, 0, 3, 10033
0, 0, 54, 5, 2.6457977, 15, 11, 71, 51, 43, 51, 15, 15, 25, 999999, 0, 3, 10166
0, 0, 53, 5, 2.6431544, 14, 10, 70, 52, 42, 50, 14, 14, 24, 999999, 0, 3, 10300
0, 0, 53, 6, 2.6425395, 13, 9, 69, 51, 41, 49, 13, 13, 27, 999999, 0, 3, 10433
0, 0, 52, 6, 2.642443, 12, 8, 68, 52, 42, 50, 12, 12, 27, 999999, 0, 3, 11500

0, 0, 52, 6, 2.7579234, 12, 8, 68, 52, 42, 50, 12, 12, 27, 999999, 0, 3, 11633

0, 0, 52, 6, 2.8598683, 12, 8, 68, 52, 42, 50, 12, 12, 27, 11, 1, 3, 11766

0, 0, 52, 7, 2.750829, 11, 7, 67, 51, 41, 49, 11, 11, 32, 999999, 0, 3, 12033
0, 0, 52, 7, 2.8848279, 11, 7, 67, 51, 41, 49, 11, 11, 32, 999999, 0, 3, 12166
0, 0, 52, 7, 2.95917, 11, 7, 67, 51, 41, 49, 11, 11, 32, 999999, 0, 3, 12300
0, 0, 51, 7, 3.0067594, 10, 6, 66, 52, 42, 50, 10, 10, 31, 999999, 0, 3, 12433
0, 0, 51, 7, 3.0440655, 10, 6, 66, 52, 42, 50, 10, 10, 31, 999999, 0, 3, 12566
0, 0, 51, 7, 3.0779297, 10, 6, 66, 52, 42, 50, 10, 10, 31, 999999, 0, 3, 12700
0, 0, 51, 8, 3.1118703, 9, 5, 65, 51, 41, 49, 9, 9, 34, 999999, 0, 3, 12833
0, 0, 50, 8, -3.135346, 8, 4, 64, 52, 42, 50, 8, 8, 32, 999999, 0, 3, 12966
0, 0, 50, 8, -3.0969691, 8, 4, 64, 52, 42, 50, 8, 8, 32, 999999, 0, 3, 13100
0, 0, 50, 8, -3.0576284, 8, 4, 64, 52, 42, 50, 8, 8, 32, 999999, 0, 3, 13233
0, 0, 49, 8, -3.0151799, 7, 3, 63, 53, 43, 51, 7, 7, 28, 999999, 0, 3, 13366
0, 0, 49, 8, -2.967922, 7, 3, 63, 53, 43, 51, 7, 7, 28, 999999, 0, 3, 13500
0, 0, 49, 9, -2.9144595, 8, 4, 62, 52, 42, 50, 8, 8, 22, 999999, 0, 3, 13633
0, 0, 48, 9, -2.8534698, 7, 3, 61, 53, 43, 51, 7, 7, 25, 999999, 0, 3, 13766
0, 0, 48, 9, -2.7836523, 7, 3, 61, 53, 43, 51, 7, 7, 25, 999999, 0, 3, 13900
0, 0, 48, 9, -2.712418, 7, 3, 61, 53, 43, 51, 7, 7, 25, 999999, 0, 3, 14033
